x, y
12.303031484333015, 0.006833004144750774
36.18401084840907, 0.005895140830765374
62.232444428356224, 0.01299610592236912
88.3393524925445, 0.051137321341360634
111.07813026444389, 0.539837581090601
136.86147951583126, 0.859234063887076
160.4461881597523, 0.941122064855193
186.59207921343466, 0.9537075854557713
213.13949505890608, 0.9524110002290633
238.45115013741503, 0.950937215021372
259.80603178227443, 0.9494807176167034
287.9166655064586, 0.9437238792101202
314.25357320866203, 0.9424575476387022
338.22421344857446, 0.9399681040034229
364.71705310875416, 0.930152953837244
388.1302365989012, 0.9258050713770167
412.50629992955214, 0.9246208568699568
437.03049862028064, 0.9152335798285914
463.1179151897218, 0.9113438241484676
487.2016060991671, 0.9089278536760351
513.858174315222, 0.9091785268198653
539.914404493068, 0.892551982262714
562.7662329345002, 0.8939479723568029
585.5673834895902, 0.8797287543705726
614.5590327763407, 0.8723511844306046
637.2744207545436, 0.8755537499405731
662.589974132002, 0.8771442278186682
688.7943396699254, 0.8589790687924901
711.2797280101133, 0.855318376502418
736.8915521077267, 0.8508624452732985
763.8093063533919, 0.8293650622144811
789.5107913268417, 0.8332677837468719
812.9044833222417, 0.8034938649909023
838.2473247923459, 0.81211615674851
862.6155915250981, 0.7966997584029527
889.2721597411529, 0.7994096215267723
912.6931398291988, 0.7855534474040202
940.1410627319835, 0.7654088349317347
965.6515310569124, 0.7753493216698288
1013.8462009684488, 0.7336424968773906
989.2869175871757, 0.7519373144262393
1037.5010789934593, 0.7517687583467674
1064.7462903508747, 0.7163374060515955
1087.761847348182, 0.7559999481365909
1113.8297724228762, 0.6202128992942254
1138.7788856990903, 0.6296909373014603
1162.8080004232438, 0.7206593568072885
1187.9442320490296, 0.5929889314841147
1213.5794459403394, 0.6594129926483617
1239.0860159663187, 0.5941904337941973
1264.0546207372797, 0.6206753480250846
1289.6391567422472, 0.6092135346209865
1315.3484383135958, 0.49770720512410477
1338.3016225277127, 0.6367919023930642
1364.1980224486329, 0.5726930507353799
1388.8937462931353, 0.3704343992704547
1415.4411621386068, 0.5311374942193908
1438.0045164577828, 0.37415559887110644
1462.3182070052433, 0.4209796133582854
1488.8227415622712, 0.5937106972603153
